id,danji_name,sido,sigungu,dong,address2,new_address,house_count,dong_count,build_ym
2784,LG쌍용,서울특별시,중랑구,상봉동,484,서울 중랑구 봉화산로 130,858세대,9개동,1996년 03월
2803,불암동아,서울특별시,노원구,상계동,1285,서울 노원구 덕릉로 780,673세대,5개동,1999년 11월
2804,상계현대1차,서울특별시,노원구,상계동,1055,서울 노원구 동일로237길 37,353세대,4개동,1993년 04월
2805,상계현대2차,서울특별시,노원구,상계동,1078,서울 노원구 동일로231길 86,465세대,4개동,1993년 12월
2806,상계신동아,서울특별시,노원구,상계동,463,서울 노원구 한글비석로52길 54,385세대,3개동,1995년 06월
2807,임광,서울특별시,노원구,상계동,694,서울 노원구 노원로 547,420세대,4개동,1989년 05월
2808,두산,서울특별시,노원구,상계동,1110,서울 노원구 동일로241길 53,763세대,11개동,1994년 10월
2809,상계주공10단지,서울특별시,노원구,상계동,666,서울 노원구 노원로 564,"2,654세대",27개동,1988년 09월
2810,상계주공11단지,서울특별시,노원구,상계동,652,서울 노원구 동일로227길 25,"1,944세대",16개동,1988년 09월
2811,상계주공12단지,서울특별시,노원구,상계동,647,서울 노원구 한글비석로 530,"1,739세대",15개동,1988년 10월
2812,이촌코오롱,서울특별시,용산구,이촌동,412,서울 용산구 이촌로81길 34,834세대,10개동,1999년 11월
2813,우방,서울특별시,은평구,증산동,244,서울 은평구 증산로3길 26-1,429세대,3개동,2000년 03월
2814,아남,서울특별시,종로구,명륜2가,4,서울 종로구 창경궁로 265,436세대,3개동,1995년 12월
2815,무악현대,서울특별시,종로구,무악동,82,서울 종로구 통일로 246-10,964세대,12개동,2000년 10월
2816,창신쌍용2단지,서울특별시,종로구,창신동,703,서울 종로구 낙산길 196,919세대,7개동,1993년 10월
2817,남산타운,서울특별시,중구,신당동,844,서울 중구 다산로 32,"5,150세대",42개동,2002년 05월
2818,약수하이츠,서울특별시,중구,신당동,842,서울 중구 동호로10길 30,"2,282세대",19개동,1999년 07월
2819,신당삼성,서울특별시,중구,신당동,843,서울 중구 청구로1길 23,994세대,14개동,1999년 12월
2820,"동성1,2차",서울특별시,중랑구,신내동,397,서울 중랑구 신내로 126,"1,047세대",9개동,1993년 02월
2821,동성3차,서울특별시,중랑구,신내동,618,서울 중랑구 봉화산로 203,800세대,6개동,1997년 05월
2822,신내11단지대명,서울특별시,중랑구,신내동,661,서울 중랑구 봉화산로 189,804세대,6개동,1996년 03월
2823,신내6단지시영,서울특별시,중랑구,신내동,650,서울 중랑구 신내로17길 83,"1,609세대",16개동,1996년 03월
2824,신내9단지진흥,서울특별시,중랑구,신내동,657,서울 중랑구 신내로 127,"1,650세대",12개동,1996년 06월
2825,신내7단지진로,서울특별시,중랑구,신내동,654,서울 중랑구 신내로17길 39,818세대,17개동,1995년 12월
